thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,,,,,HIT,MISS,FA,CR,,,,,
0,0,0,up,0,0.9089466,None,2,0,0,0,0,0.0066124,,0.0025364,0.0066124,1.0255326,1.0255326,1.9585085,up,0,0.9089466,None,2,PILOT20.04,1,2025-09-11_19h12.12.839,exp3.1,,2025.1.1,60.04613945,2025-09-11 19h12.31.190614 +0530,,,,,,,1,,,,,,
1,0,1,up,1,0.6781324,None,0,1,0,1,0,1.9628258,,1.9589961,1.9628258,2.9785766,2.9612638,3.6458518,up,1,0.6781324,None,0,PILOT20.04,1,2025-09-11_19h12.12.839,exp3.1,,2025.1.1,60.04613945,2025-09-11 19h12.31.190614 +0530,,,,,1,,,,,,,,
2,0,2,down,1,0.430129,None,4,2,0,2,0,3.661154,,3.6465657,3.661154,4.6601626,4.6601626,5.0933662,down,1,0.430129,None,4,PILOT20.04,1,2025-09-11_19h12.12.839,exp3.1,,2025.1.1,60.04613945,2025-09-11 19h12.31.190614 +0530,,,,,,,1,,,,,,
3,0,3,down,1,0.5623656,None,3,3,0,3,0,5.1093543,,5.0941726,5.1093543,6.1088174,6.1088174,6.6760047,down,1,0.5623656,None,3,PILOT20.04,1,2025-09-11_19h12.12.839,exp3.1,,2025.1.1,60.04613945,2025-09-11 19h12.31.190614 +0530,,,,,,,,1,,,,,
4,0,4,up,1,0.3913633,None,0,4,0,4,0,6.6915701,,6.6766725,6.6915701,7.707872,7.6906595,8.0911338,up,1,0.3913633,None,0,PILOT20.04,1,2025-09-11_19h12.12.839,exp3.1,,2025.1.1,60.04613945,2025-09-11 19h12.31.190614 +0530,,,,,1,,,,,,,YES ,NO 
5,0,5,up,1,0.4853704,None,0,5,0,5,0,8.1069379,,8.0918354,8.1069379,9.1227334,9.105975,9.6061912,up,1,0.4853704,None,0,PILOT20.04,1,2025-09-11_19h12.12.839,exp3.1,,2025.1.1,60.04613945,2025-09-11 19h12.31.190614 +0530,,,,,1,,,,,,signal present ,38,8
6,0,6,up,1,0.3126427,None,0,6,0,6,0,9.6222204,,9.6068489,9.6222204,10.6375582,10.621046,10.9381532,up,1,0.3126427,None,0,PILOT20.04,1,2025-09-11_19h12.12.839,exp3.1,,2025.1.1,60.04613945,2025-09-11 19h12.31.190614 +0530,,,,,1,,,,,,signal absent ,23,31
7,0,7,down,1,0.371449,None,1,7,0,7,0,10.9540712,,10.9387636,10.9540712,11.9690941,11.9531533,12.3371827,down,1,0.371449,None,1,PILOT20.04,1,2025-09-11_19h12.12.839,exp3.1,,2025.1.1,60.04613945,2025-09-11 19h12.31.190614 +0530,,,,,,,,1,,,,,
8,0,8,up,1,0.4288135,None,0,8,0,8,0,12.3526827,,12.3376899,12.3526827,13.3517762,13.3517762,13.7858682,up,1,0.4288135,None,0,PILOT20.04,1,2025-09-11_19h12.12.839,exp3.1,,2025.1.1,60.04613945,2025-09-11 19h12.31.190614 +0530,,,,,1,,,,,,PROP HIT ,0.826086957,
9,0,9,down,1,0.9348047,None,-4,9,0,9,0,13.8009841,,13.7864132,13.8009841,14.80056,14.80056,15.7494496,down,1,0.9348047,None,-4,PILOT20.04,1,2025-09-11_19h12.12.839,exp3.1,,2025.1.1,60.04613945,2025-09-11 19h12.31.190614 +0530,,,,,,,,1,,,PROP FA ,0.425925926,
