study_word,thisN,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,1,_o_rd,Board,old,,[np.float64(-0.015625)],[np.float64(-0.3033854166666667)],[1],[0],[0],[12.302065700001549],['submit_text'],,,,,0,1,1,10,16.1718079,,,,,,,,16.1584359,16.1718079,16.1718079,16.1718079,0.0019758,28.4607211,,[np.float64(-0.015625)],[np.float64(-0.3033854166666667)],[1],[0],[0],[12.302065700001549],['submit_text'],26.1783869,Par01,1,2025-10-16_22h41.54.477,exp 5,,2025.1.1,60.12368645,2025-10-16 22h42.29.837978 +0530
,2,c_s_io_,Cushion,old,cushion,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[3.7568186999997124],['submit_text'],,,,,0,2,2,14,28.4763238,,,,,,,,28.4637404,28.4763238,28.4763238,28.4763238,0.0029215,32.2208414,cushion,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[3.7568186999997124],['submit_text'],,Par01,1,2025-10-16_22h41.54.477,exp 5,,2025.1.1,60.12368645,2025-10-16 22h42.29.837978 +0530
,3,K_y_,Keys,old,keys,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[2.014340900001116],['submit_text'],,,,,0,3,3,8,32.2294445,,,,,,,,32.223983,32.2294445,32.2294445,32.2294445,0.0030023,34.2385311,keys,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[2.014340900001116],['submit_text'],,Par01,1,2025-10-16_22h41.54.477,exp 5,,2025.1.1,60.12368645,2025-10-16 22h42.29.837978 +0530
,4,_oo_,Book,old,book,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[3.4438913999983924],['submit_text'],,,,,0,4,4,13,34.2539796,,,,,,,,34.2409111,34.2539796,34.2539796,34.2539796,0.0022902,37.6850295,book,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[3.4438913999983924],['submit_text'],,Par01,1,2025-10-16_22h41.54.477,exp 5,,2025.1.1,60.12368645,2025-10-16 22h42.29.837978 +0530
,5,bo_t_e,Bottle,new,bottle,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[6.773714199996903],['submit_text'],,,,,0,5,5,18,37.7005178,,,,,,,,37.6879358,37.7005178,37.7005178,37.7005178,0.0028177,44.4619412,bottle,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[6.773714199996903],['submit_text'],,Par01,1,2025-10-16_22h41.54.477,exp 5,,2025.1.1,60.12368645,2025-10-16 22h42.29.837978 +0530
,6,P_ _tr_,Patry,old,pastry,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[4.122949200005678],['submit_text'],,,,,0,6,6,4,44.4773858,,,,,,,,44.4679816,44.4773858,44.4773858,44.4773858,0.0059112,48.5912261,pastry,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[4.122949200005678],['submit_text'],,Par01,1,2025-10-16_22h41.54.477,exp 5,,2025.1.1,60.12368645,2025-10-16 22h42.29.837978 +0530
,7,T_hi_t,Tshirt,old,tshirt,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[4.692407599999569],['submit_text'],,,,,0,7,7,2,48.6066753,,,,,,,,48.5936802,48.6066753,48.6066753,48.6066753,0.0023308,53.2863489,tshirt,[np.float64(-0.018229166666666668)],[np.float64(-0.30078125)],[1],[0],[0],[4.692407599999569],['submit_text'],,Par01,1,2025-10-16_22h41.54.477,exp 5,,2025.1.1,60.12368645,2025-10-16 22h42.29.837978 +0530
,8,ta_l_,Table,new,table,[np.float64(0.00390625)],[np.float64(-0.3125)],[1],[0],[0],[4.742193499994755],['submit_text'],,,,,0,8,8,15,53.3021742,,,,,,,,53.2891659,53.3021742,53.3021742,53.3021742,0.0027231,58.0316065,table,[np.float64(0.00390625)],[np.float64(-0.3125)],[1],[0],[0],[4.742193499994755],['submit_text'],,Par01,1,2025-10-16_22h41.54.477,exp 5,,2025.1.1,60.12368645,2025-10-16 22h42.29.837978 +0530
,9,_ou_se,mouse,old,mousse,[np.float64(0.00390625)],[np.float64(-0.3125)],[1],[0],[0],[5.042270799996913],['submit_text'],,,,,0,9,9,3,58.0472999,,,,,,,,58.0343275,58.0472999,58.0472999,58.0472999,0.0026416,63.0768828,mousse,[np.float64(0.00390625)],[np.float64(-0.3125)],[1],[0],[0],[5.042270799996913],['submit_text'],,Par01,1,2025-10-16_22h41.54.477,exp 5,,2025.1.1,60.12368645,2025-10-16 22h42.29.837978 +0530
,10,_a_bl_,Marble,old,marble,[np.float64(0.00390625)],[np.float64(-0.3125)],[1],[0],[0],[8.555568900002982],['submit_text'],,,,,0,10,10,11,63.0923808,,,,,,,,63.0794768,63.0923808,63.0923808,63.0923808,0.0024884,71.6353973,marble,[np.float64(0.00390625)],[np.float64(-0.3125)],[1],[0],[0],[8.555568900002982],['submit_text'],,Par01,1,2025-10-16_22h41.54.477,exp 5,,2025.1.1,60.12368645,2025-10-16 22h42.29.837978 +0530
