delay,freq,condition,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.4,1000,exp,1000,1,[6.347714900039136],[6.347721300087869],0,0,0,4,0.0502111,,0.0353972,0.0502111,1.0022638,1.0022638,1.0516739,7.381703,space,6.3769255,None,7.382369,7.796408067,8.1092422,8.0959692,8.0967203,8.1092422,8.1092422,8.1092422,14.4571895,200,1,[6.347714900039136],[6.347721300087869],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.7,1000,exp,1000,1,[2.335721699986607],[2.3357276999158785],0,1,1,8,14.4721046,,14.4573893,14.4721046,15.4723743,15.4723743,15.4723743,16.1061439,space,0.6246784,None,16.1068049,16.82223157,17.1331802,17.1232099,17.1236485,17.1331802,17.1331802,17.1331802,19.4691416,200,1,[2.335721699986607],[2.3357276999158785],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,1000,exp,900,1,[3.0993869999656454],[3.0993933000136167],0,2,2,6,19.4840297,,19.4693487,19.4840297,20.4847235,20.4847235,20.4847235,22.4819097,space,1.9828089,None,22.4823917,22.58303977,22.9118455,22.8875032,22.8878424,22.9118455,22.9118455,22.9118455,26.0114883,100,1,[3.0993869999656454],[3.0993933000136167],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.4,1000,exp,900,1,[2.3833284999709576],[2.3833343000151217],0,3,3,10,26.0289089,,26.0116836,26.0289089,27.010032,27.010032,27.0442896,30.4070663,space,3.384999,None,30.4075213,30.80748687,31.1203436,31.103967,31.1051021,31.1203436,31.1203436,31.1203436,33.5039313,100,1,[2.3833284999709576],[2.3833343000151217],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.7,1000,exp,850,1,[1.5985942999832332],[1.5986006999155506],0,4,4,5,33.5218062,,33.5041046,33.5218062,34.5034919,34.5034919,34.5359178,35.4024946,space,0.8971554,None,35.4030392,36.10335097,36.4341828,36.4153988,36.4161056,36.4341828,36.4341828,36.4341828,38.0330746,400,1,[1.5985942999832332],[1.5986006999155506],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.7,1000,exp,500,1,[1.569744999986142],[1.5697544999420643],0,5,5,11,38.0503838,,38.0332526,38.0503838,39.032575,39.032575,39.0666136,39.5154858,space,0.4794391,None,39.5160984,40.21490667,40.5271484,40.5130992,40.5138842,40.5271484,40.5271484,40.5271484,42.097208,500,1,[1.569744999986142],[1.5697544999420643],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,1000,exp,500,1,[1.6360064001055434],[1.6360120000317693],0,6,6,9,42.1132543,,42.0974719,42.1132543,43.1123372,43.1123372,43.1281208,44.0604777,space,0.9365113,None,44.0609934,44.16041547,44.4733541,44.4589665,44.4592663,44.4733541,44.4733541,44.4733541,46.1095891,500,1,[1.6360064001055434],[1.6360120000317693],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.7,400,unexp,500,1,[3.0155886000720784],[3.0155971000203863],0,7,7,2,46.1256405,,46.1099373,46.1256405,47.1250843,47.1250843,47.1250843,48.0909268,space,0.9540557,None,48.0914366,48.79148087,49.1195187,49.0950016,49.095416,49.1195187,49.1195187,49.1195187,52.1354404,500,1,[3.0155886000720784],[3.0155971000203863],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,400,unexp,600,1,[1.4337568000191823],[1.4337633999530226],0,8,8,0,52.1528043,,52.1356644,52.1528043,53.1352029,53.1352029,53.1532381,54.0011663,space,0.8550335,None,54.0017648,54.10292267,54.4332011,54.4141031,54.414609,54.4332011,54.4332011,54.4332011,55.8671958,600,1,[1.4337568000191823],[1.4337633999530226],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,1000,exp,300,1,[2.9673890999983996],[2.967395000043325],0,9,9,3,55.8808821,,55.867386,55.8808821,56.8817902,56.8817902,56.8817902,57.9819036,space,1.0941094,None,57.9827074,58.08185517,58.4102836,58.3840187,58.3844921,58.4102836,58.4102836,58.4102836,61.377935,300,1,[2.9673890999983996],[2.967395000043325],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.4,400,unexp,700,1,[1.767770400037989],[1.7677787999855354],0,10,10,1,61.3942747,,61.3781134,61.3942747,62.3764609,62.3764609,62.4095134,63.2100082,space,0.8263817,None,63.2109436,63.60979857,63.9380666,63.9149519,63.9153241,63.9380666,63.9380666,63.9380666,65.7061394,700,1,[1.767770400037989],[1.7677787999855354],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.4,1000,exp,300,1,[1.8665474000154063],[1.8665532999439165],0,11,11,7,65.7229978,,65.706384,65.7229978,66.705823,66.705823,66.7232984,67.5044813,space,0.7873283,None,67.5052148,67.90500347,68.2177795,68.2007309,68.2016226,68.2177795,68.2177795,68.2177795,70.0845894,300,1,[1.8665474000154063],[1.8665532999439165],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.4,1000,exp,200,1,[5.797328400076367],[5.797335000010207],1,0,12,7,70.1025799,,70.0847577,70.1025799,71.0834363,71.0834363,71.1163073,72.3682713,space,1.2766686,None,72.3691989,72.78465427,73.0961359,73.0810297,73.0817541,73.0961359,73.0961359,73.0961359,78.8937463,200,1,[5.797328400076367],[5.797335000010207],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.7,1000,exp,400,1,[1.9863228000467643],[1.9863302999874577],1,1,13,5,78.9089205,,78.8939233,78.9089205,79.9083924,79.9083924,79.9083924,81.2745721,space,1.3535711,None,81.2751762,81.97366237,82.2863905,82.2731884,82.273555,82.2863905,82.2863905,82.2863905,84.2729674,400,1,[1.9863228000467643],[1.9863302999874577],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.4,1000,exp,300,1,[2.26795599993784],[2.2679630999919027],1,2,14,10,84.2873815,,84.2731691,84.2873815,85.2868201,85.2868201,85.2868201,88.1689823,space,2.8808819,None,88.1698435,88.58340237,88.896917,88.8817467,88.882532,88.896917,88.896917,88.896917,91.1651261,300,1,[2.26795599993784],[2.2679630999919027],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.7,1000,exp,250,1,[2.433375700027682],[2.433381500071846],1,3,15,11,91.1808085,,91.1652972,91.1808085,92.1643667,92.1643667,92.1810903,93.2137773,space,1.0342307,None,93.2145339,93.93038907,94.2585102,94.2332572,94.2336592,94.2585102,94.2585102,94.2585102,96.692127,250,1,[2.433375700027682],[2.433381500071846],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,1000,exp,400,1,[1.6861630999483168],[1.686168699990958],1,4,16,3,96.7091229,,96.6923035,96.7091229,97.6912506,97.6912506,97.7241087,98.5572576,space,0.8638123,None,98.5579801,98.65827057,98.9869408,98.9604225,98.9608919,98.9869408,98.9869408,98.9869408,100.6735719,400,1,[1.6861630999483168],[1.686168699990958],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.7,1000,exp,200,1,[1.2191716999514028],[1.2191775999963284],1,5,17,8,100.6880541,,100.6737459,100.6880541,101.6875814,101.6875814,101.6875814,103.4868503,space,1.7935178,None,103.4875118,104.1873264,104.514875,104.4871069,104.487648,104.514875,104.514875,104.514875,105.7343547,200,1,[1.2191716999514028],[1.2191775999963284],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,1000,exp,350,1,[1.9192624000133947],[1.9192812000401318],1,6,18,9,105.7500363,,105.7345349,105.7500363,106.748219,106.748219,106.748219,109.4132247,space,2.6545156,None,109.4138068,109.5148339,109.8259865,109.8134072,109.8137136,109.8259865,109.8259865,109.8259865,111.7455609,350,1,[1.9192624000133947],[1.9192812000401318],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.4,1000,exp,400,1,[4.829243400017731],[4.829249800066464],1,7,19,4,111.7600428,,111.7457461,111.7600428,112.7601737,112.7601737,112.7601737,113.8924694,space,1.1252008,None,113.8930936,114.2935973,114.6078495,114.5934801,114.5937836,114.6078495,114.6078495,114.6078495,119.4373324,400,1,[4.829243400017731],[4.829249800066464],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,400,unexp,600,1,[2.334569900063798],[2.334577800007537],1,8,20,0,119.453373,,119.4375252,119.453373,120.4523407,120.4523407,120.4523407,122.5365416,space,2.0836575,None,122.5371635,122.6511322,122.9627901,122.9536697,122.9540177,122.9627901,122.9627901,122.9627901,125.297605,600,1,[2.334569900063798],[2.334577800007537],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.4,400,unexp,600,1,[1.8348274999298155],[1.8348455999512225],1,9,21,1,125.3148193,,125.2977759,125.3148193,126.2975983,126.2975983,126.314477,127.3631025,space,1.0592377,None,127.3638287,127.7636973,128.074745,128.0602847,128.0606468,128.074745,128.074745,128.074745,129.910041,600,1,[1.8348274999298155],[1.8348455999512225],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,1000,exp,300,1,[2.5354195999680087],[2.5354260000167415],1,10,22,6,129.925983,,129.9103193,129.925983,130.9248928,130.9248928,130.9248928,131.9762479,space,1.0327851,None,131.9769594,132.0910148,132.4200151,132.3945603,132.3949198,132.4200151,132.4200151,132.4200151,134.9557072,300,1,[2.5354195999680087],[2.5354260000167415],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.7,400,unexp,400,1,[2.1993378000333905],[2.199344199965708],1,11,23,2,134.9709773,,134.9558763,134.9709773,135.9702067,135.9702067,135.9702067,138.1018415,space,2.1197801,None,138.1025253,138.8025227,139.1171565,139.1024065,139.1028507,139.1171565,139.1171565,139.1171565,141.3167252,400,1,[2.1993378000333905],[2.199344199965708],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,1000,exp,400,1,[4.3470472999615595],[4.347054400015622],2,0,24,9,141.3317478,,141.3168983,141.3317478,142.3311961,142.3311961,142.3311961,145.7945205,space,3.4562671,None,145.7951344,145.8957017,146.2102135,146.1962294,146.1965727,146.2102135,146.2102135,146.2102135,150.557538,400,1,[4.3470472999615595],[4.347054400015622],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,1000,exp,400,1,[1.5854167999932542],[1.5854226999217644],2,1,25,3,150.5715716,,150.5577107,150.5715716,151.572643,151.572643,151.572643,157.5188761,space,5.937589,None,157.5200828,157.6344218,157.9457985,157.9336915,157.9341515,157.9457985,157.9457985,157.9457985,159.5314457,400,1,[1.5854167999932542],[1.5854226999217644],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.7,1000,exp,300,1,[1.3356941000092775],[1.335700000054203],2,2,26,11,159.546968,,159.5316154,159.546968,160.5464895,160.5464895,160.5464895,160.7476078,space,0.1940019,None,160.7481545,161.4629914,161.7748152,161.7632615,161.7636472,161.7748152,161.7748152,161.7748152,163.1107476,300,1,[1.3356941000092775],[1.335700000054203],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.1,400,unexp,600,1,[3.2972945000510663],[3.297300400095992],2,3,27,0,163.1270784,,163.1109264,163.1270784,164.1085752,164.1085752,164.1416767,165.4260123,space,1.3081403,None,165.4265761,165.543062,165.8742086,165.8547664,165.8551141,165.8742086,165.8742086,165.8742086,169.1717321,600,1,[3.2972945000510663],[3.297300400095992],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.4,1000,exp,600,1,[1.4688435000134632],[1.468850199948065],2,4,28,10,169.1866286,,169.1719212,169.1866286,170.187092,170.187092,170.187092,171.2522213,space,1.0573068,None,171.2527789,171.6523669,171.9647086,171.9527417,171.9531291,171.9647086,171.9647086,171.9647086,173.4337914,600,1,[1.4688435000134632],[1.468850199948065],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
0.4,1000,exp,700,1,[2.085827200091444],[2.085835500038229],2,5,29,7,173.4510499,,173.4339614,173.4510499,174.4332256,174.4332256,174.4670858,176.5477092,space,2.1024739,None,176.5482398,176.9474196,177.2601698,177.244513,177.2448711,177.2601698,177.2601698,177.2601698,179.3462947,700,1,[2.085827200091444],[2.085835500038229],par01,1,2025-11-13_21h18.47.046,intentional binding,,2025.1.1,60.31748713,2025-11-13 21h18.55.325985 +0530
