study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,_ha_t,Chart,old,chart,"[np.float64(-0.4895833333333333), np.float64(-0.0234375)]","[np.float64(-0.2916666666666667), np.float64(-0.3098958333333333)]","[1, 1]","[0, 0]","[0, 0]","[0.22321820000070147, 3.6029684000022826]","[None, 'submit_text']",,,,,0,0,0,1,7.2446008,,,,,,,,7.2305997,7.2446008,7.2446008,7.2446008,0.0097069,10.8337591,chart,"[np.float64(-0.4895833333333333), np.float64(-0.0234375)]","[np.float64(-0.2916666666666667), np.float64(-0.3098958333333333)]","[1, 1]","[0, 0]","[0, 0]","[0.22321820000070147, 3.6029684000022826]","[None, 'submit_text']",,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,1,1,0,,,bo_t_e,Bottle,new,bottle,[np.float64(-0.0234375)],[np.float64(-0.3098958333333333)],[1],[0],[0],[2.5624754000018584],['submit_text'],,,,,0,1,1,18,10.8499204,,,,,,,,10.8358017,10.8499204,10.8499204,10.8499204,0.001946,13.3984548,bottle,[np.float64(-0.0234375)],[np.float64(-0.3098958333333333)],[1],[0],[0],[2.5624754000018584],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,2,2,0,,,v_s_,Vase,new,visa,[np.float64(-0.015625)],[np.float64(-0.3059895833333333)],[1],[0],[0],[11.368307999997342],['submit_text'],,,,,0,2,2,17,13.4147486,,,,,,,,13.4021792,13.4147486,13.4147486,13.4147486,0.0036543,24.7707846,visa,[np.float64(-0.015625)],[np.float64(-0.3059895833333333)],[1],[0],[0],[11.368307999997342],['submit_text'],23.420985,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,3,3,0,,,c_s_,Case,old,case,[np.float64(-0.015625)],[np.float64(-0.3059895833333333)],[0],[0],[1],[3.4765243000001647],['submit_text'],,,,,0,3,3,5,24.7866198,,,,,,,,24.7744897,24.7866198,24.7866198,24.7866198,0.0035642,28.2512801,case,[np.float64(-0.015625)],[np.float64(-0.3059895833333333)],[0],[0],[1],[3.4765243000001647],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,4,4,0,,,P_li_e,Police,old,police,[np.float64(-0.015625)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.542589399999997],['submit_text'],,,,,0,4,4,7,28.266709,,,,,,,,28.2542348,28.266709,28.266709,28.266709,0.0028224,31.7970187,police,[np.float64(-0.015625)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.542589399999997],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,5,5,0,,,_ru_s_,Cruise,old,cruise,[np.float64(-0.015625)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.5770880000054603],['submit_text'],,,,,0,5,5,6,31.8134332,,,,,,,,31.7991821,31.8134332,31.8134332,31.8134332,0.0020681,35.3767451,cruise,[np.float64(-0.015625)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.5770880000054603],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,6,6,0,,,p_nc_l,Pencil,new,pencil,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[5.375957900003414],['submit_text'],,,,,0,6,6,16,35.3927755,,,,,,,,35.3791365,35.3927755,35.3927755,35.3927755,0.002323,40.755294,pencil,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[5.375957900003414],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,7,7,0,,,_a_bl_,Marble,old,marble,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[5.991969100003189],['submit_text'],,,,,0,7,7,11,40.7707702,,,,,,,,40.75718,40.7707702,40.7707702,40.7707702,0.0018148,46.7493483,marble,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[5.991969100003189],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,8,8,0,,,T_hi_t,Tshirt,old,tshirt,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[5.775043099994946],['submit_text'],,,,,0,8,8,2,46.7647255,,,,,,,,46.751364,46.7647255,46.7647255,46.7647255,0.0018749,52.526622,tshirt,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[5.775043099994946],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,9,9,0,,,_ho_e,Phone,old,phone,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[4.64372409999487],['submit_text'],,,,,0,9,9,12,52.5425348,,,,,,,,52.5287543,52.5425348,52.5425348,52.5425348,0.0020595,57.1726984,chore,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[4.64372409999487],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,10,10,0,,,K_y_,Keys,old,keys,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[3.410762200001045],['submit_text'],,,,,0,10,10,8,57.1884197,,,,,,,,57.1744024,57.1884197,57.1884197,57.1884197,0.001631,60.5853898,keys,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[3.410762200001045],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,11,11,0,,,P_st_r,Poster,old,poster,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[3.1437013000031584],['submit_text'],,,,,0,11,11,9,60.6012525,,,,,,,,60.5880947,60.6012525,60.6012525,60.6012525,0.0026192,63.732059,poster,[np.float64(-0.015625)],[np.float64(-0.3046875)],[1],[0],[0],[3.1437013000031584],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,12,12,0,,,ta_l_,Table,new,,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[3.7946140999993077],['submit_text'],,,,,0,12,12,15,63.7482121,,,,,,,,63.7339254,63.7482121,63.7482121,63.7482121,0.0017783,67.5287942,table,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[3.7946140999993077],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,13,13,0,,,_ou_se,mouse,old,mouse,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[4.343227700002899],['submit_text'],,,,,0,13,13,3,67.5445365,,,,,,,,67.5308808,67.5445365,67.5445365,67.5445365,0.0019395,71.8743289,mouse,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[4.343227700002899],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,14,14,0,,,_o_rd,Board,old,board,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[9.38873859999876],['submit_text'],,,,,0,14,14,10,71.8906576,,,,,,,,71.8762964,71.8906576,71.8906576,71.8906576,0.0018957,81.2652567,chord,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[9.38873859999876],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,15,15,0,,,c_s_io_,Cushion,old,cushion,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[3.0790476000038325],['submit_text'],,,,,0,15,15,14,81.2809689,,,,,,,,81.2671954,81.2809689,81.2809689,81.2809689,0.0018593,84.3464763,cushion,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[3.0790476000038325],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,16,16,0,,,l_pt_p,Laptop,old ,laptop,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[2.2447325000030105],['submit_text'],,,,,0,16,16,0,84.3619667,,,,,,,,84.3483674,84.3619667,84.3619667,84.3619667,0.0017854,86.5933862,laptop,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[2.2447325000030105],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,17,17,0,,,P_ _tr_,Pantry,old,,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[5.458611499998369],['submit_text'],,,,,0,17,17,4,86.6092224,,,,,,,,86.5956977,86.6092224,86.6092224,86.6092224,0.0022412,92.0545535,,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[5.458611499998369],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,18,18,0,,,_oo_,Book,old,book,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[2.595313999998325],['submit_text'],,,,,0,18,18,13,92.0708471,,,,,,,,92.0563056,92.0708471,92.0708471,92.0708471,0.0016786,94.6518576,book,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[2.595313999998325],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,19,19,0,,,c_m_ra,Camera,new,camera,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[4.0606526999981725],['submit_text'],,,,,0,19,19,19,94.667935,,,,,,,,94.6537288,94.667935,94.667935,94.667935,0.0017967,98.7146225,camera,[np.float64(-0.015625)],[np.float64(-0.2864583333333333)],[1],[0],[0],[4.0606526999981725],['submit_text'],,par04,1,2025-10-16_23h26.44.950,exp 5,,2025.1.1,59.97609353,2025-10-16 23h26.52.655350 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prop hits from study list ,,,13,0.928571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prop hits for non primed words ,,,3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Priming score ,,,,0.328571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
