stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0378476,,0.0247301,0.0378476,0.5160339,0.5160339,0.5541277,0.8208302,1.5790003,left,-10,1,1,0.9304584,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
1,2,8,1.5837288,,1.5792274,1.5837288,2.0860673,2.0860673,2.0860673,2.3855635,2.5071267,left,-8,1,1,0.4115647,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
2,2,6,2.5192714,,2.5074041,2.5192714,3.0181694,3.0181694,3.0181694,3.3182497,3.4585448,right,6,1,1,0.4393537,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
3,1,4,3.4684219,,3.4588125,3.4684219,3.9696927,3.9696927,3.9696927,4.2837996,4.3740401,right,4,0,0,0.403267,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
4,1,5,4.3855819,,4.3745828,4.3855819,4.8836716,4.8836716,4.8836716,5.1832935,5.358091,left,-5,1,1,0.4649394,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
5,1,5,5.3676287,,5.3584018,5.3676287,5.8661097,5.8661097,5.88379,6.1663538,6.2886267,right,5,1,1,0.4162223,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
6,1,5,6.2996435,,6.2888487,6.2996435,6.7985009,6.7985009,6.8148804,7.0980719,7.3709524,right,5,1,1,0.5670196,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
7,1,4,7.3807912,,7.3712803,7.3807912,7.8805619,7.8805619,7.8805619,8.1801029,8.2864317,left,-4,1,1,0.3984419,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
8,1,4,8.2967348,,8.2867247,8.2967348,8.7959981,8.7959981,8.8132433,9.0969835,9.4349882,left,-4,1,1,0.6262693,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
9,1,4,9.445543,,9.4352362,9.445543,9.9452311,9.9452311,9.9452311,10.2452044,10.4500773,left,-4,1,1,0.4914137,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
10,1,3,10.4615862,,10.4503443,10.4615862,10.9611305,10.9611305,10.9611305,11.2607579,11.282528,right,3,1,1,0.3057202,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
11,1,3,11.293704,,11.2828268,11.293704,11.7930621,11.7930621,11.7930621,12.0930055,12.2322378,left,-3,1,1,0.4253633,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
12,1,3,12.24287,,12.2325412,12.24287,12.7421013,12.7421013,12.7421013,13.042042,13.1656239,right,3,1,1,0.4206879,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
13,1,2,13.1751755,,13.165941,13.1751755,13.6746046,13.6746046,13.6746046,13.9747366,13.9813152,left,-2,1,1,0.3039289,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
14,0.5,2,13.9912196,,13.9816036,13.9912196,14.4909703,14.4909703,14.4909703,14.7903944,14.7974697,left,-2,0,0,0.3026807,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
15,0.5,2.5,14.8070891,,14.7977837,14.8070891,15.3066733,15.3066733,15.3066733,15.605656,15.6963017,right,2.5,1,1,0.3874929,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
16,0.5,2.5,15.7059235,,15.6965907,15.7059235,16.2056778,16.2056778,16.2056778,16.504855,16.6449579,right,2.5,1,1,0.4339969,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
17,0.5,2.5,16.6550727,,16.6452282,16.6550727,17.1549415,17.1549415,17.1549415,17.4540918,17.5256396,left,-2.5,0,0,0.3611541,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
18,0.5,3,17.5375692,,17.5259339,17.5375692,18.0367404,18.0367404,18.0367404,18.3361753,18.3752644,left,-3,0,0,0.3289467,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
19,0.5,3.5,18.3864805,,18.3755418,18.3864805,18.8863459,18.8863459,18.8863459,19.1858997,19.4912016,left,-3.5,1,1,0.5955531,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
20,0.5,3.5,19.5016587,,19.4914693,19.5016587,20.0019966,20.0019966,20.0019966,20.30069,20.3404792,right,3.5,1,1,0.32934,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
21,0.5,3.5,20.3532895,,20.3407681,20.3532895,20.8506922,20.8506922,20.8675049,21.1509501,21.1908502,right,3.5,0,0,0.3372357,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
22,0.5,4,21.2007094,,21.1911385,21.2007094,21.7004821,21.7004821,21.7004821,21.9999443,22.2057254,right,4,1,1,0.4981703,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
23,0.5,4,22.2167337,,22.2060205,22.2167337,22.7159913,22.7159913,22.7159913,23.0156656,23.087744,left,-4,1,1,0.36228,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
24,0.5,4,23.0983506,,23.0880169,23.0983506,23.5979433,23.5979433,23.5979433,,23.871085,right,4,1,1,0.2659933,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
25,0.5,3.5,23.8813811,,23.8713587,23.8813811,24.3809045,24.3809045,24.3809045,24.6810327,24.9697707,left,-3.5,1,1,0.584296,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
26,0.5,3.5,24.9806879,,24.9700554,24.9806879,25.4798415,25.4798415,25.4798415,25.7800448,25.7862218,right,3.5,1,1,0.2922088,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
27,0.5,3.5,25.7965718,,25.7865036,25.7965718,26.2960245,26.2960245,26.2960245,26.5955884,26.7179759,left,-3.5,1,1,0.414358,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
28,0.5,3,26.7284385,,26.7182325,26.7284385,27.2282029,27.2282029,27.2282029,27.5271518,27.8168421,left,-3,1,1,0.5826981,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
29,0.5,3,27.8286574,,27.8171269,27.8286574,28.3265312,28.3265312,28.3434916,28.6267765,28.782801,left,-3,1,1,0.4496254,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
30,0.5,3,28.7931924,,28.7830691,28.7931924,29.2933638,29.2933638,29.2933638,29.5937093,29.599452,left,-3,1,1,0.2990101,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
31,0.5,2.5,29.6095202,,29.5997485,29.6095202,30.1090188,30.1090188,30.1262241,30.4082866,30.3978211,left,-2.5,1,1,0.273621,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
32,0.5,2.5,30.4082866,,30.398102,30.4082866,30.9079152,30.9079152,30.9079152,,31.1811042,right,2.5,0,0,0.2693962,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
33,0.5,3,31.190131,,31.1813987,31.190131,31.6899846,31.6899846,31.6899846,31.9901759,32.3797775,right,3,1,1,0.6733618,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
34,0.5,3,32.3894378,,32.3800367,32.3894378,32.8893656,32.8893656,32.8893656,33.1887892,33.4101866,right,3,1,1,0.5097987,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
35,0.5,3,33.4216997,,33.4104284,33.4216997,33.9215019,33.9215019,33.9215019,34.2211881,34.3930723,left,-3,1,1,0.4627325,pilot 1  ,1,2025-09-04_20h14.01.323,exp2 adaptive staircase,,2025.1.1,59.44815467,2025-09-04 20h14.25.268991 +0530
